PC1,PC2,PC3,label_joint,auxiliary_type
-1.804327,-2.236026,3.6378064,1,evans
2.2378602,-0.47151095,0.29530895,1,evans
2.2132895,-2.2436078,-0.3440219,1,evans
1.9901245,-2.4334297,-0.15689665,1,evans
1.0451314,-3.4371145,-0.8381838,1,evans
0.7982561,-2.4208677,1.3760346,1,evans
0.68228346,3.4348845,-2.216126,3,evans
2.4151123,-0.16474347,0.6382557,1,evans
1.9022819,-0.6892058,0.6553254,1,evans
2.4145303,-0.1688656,0.63670474,1,evans
2.4120994,-0.17576319,0.6339098,1,evans
1.5334456,3.5324435,-2.3660185,2,evans
0.8772286,2.940644,-2.047637,2,evans
1.5506375,1.6032374,-2.9961615,2,evans
5.0470977,-0.9509106,6.0310774,1,oppolzer
0.9258339,-7.5370793,2.6139088,2,oppolzer
1.9601291,0.056630403,5.5010476,2,oppolzer
5.0015397,1.4267315,-1.7619488,1,evans
4.097519,1.3596195,-1.6501243,1,evans
3.59485,0.8797558,-1.9786234,1,evans
4.6591215,3.4947336,0.91040283,1,evans
8.877577,-6.6666903,17.652857,2,evans
1.24572,2.9907207,-1.3232149,2,evans
2.0998993,-0.10323097,-1.5827599,2,evans
-6.445952,4.4358563,2.9997027,1,crimmins_thione
-6.445952,4.4358563,2.9997027,1,crimmins_thione
4.53488,1.2132629,0.64965034,1,evans
2.1180673,-0.55431116,8.860713,2,evans
0.7415341,2.15023,1.7277769,1,crimmins_thione
-2.2134917,1.4131553,-4.816697,2,evans
-4.871185,0.53344697,1.1075455,3,crimmins_oxathione
-4.343163,0.9055207,1.1008116,3,crimmins_oxathione
-1.6897527,1.853319,-2.06858,3,evans
-1.6143202,0.108467534,-2.595175,3,evans
-1.7145079,1.6607653,-2.1406963,3,evans
2.6980724,0.2840938,-1.8515729,0,evans
1.0237873,3.2923157,-2.4062977,2,evans
4.4844513,1.5920179,-1.5331564,1,evans
1.3655704,2.6753166,1.7159568,1,crimmins_thione
-0.8560306,-0.2241776,10.936111,2,oppolzer
4.761066,1.089935,0.4331073,0,evans
4.5677085,0.4438628,-0.4371197,1,evans
2.9476802,2.03904,0.5378333,1,evans
-0.83836216,4.0625343,0.4359642,2,evans
0.36955947,0.47557998,4.015859,2,evans
0.40194145,3.3078725,-1.6885768,2,evans
-3.119091,1.8811992,-0.7925528,3,evans
2.2177312,-0.2119037,0.20041269,1,evans
2.2863903,-1.9772103,-0.33441183,1,evans
1.7227775,-2.6710436,-0.41451994,1,evans
0.1828492,-4.0753427,-0.7026303,1,evans
2.1612797,1.0901457,-1.058241,3,evans
2.1619647,1.0846765,-1.0600991,3,evans
2.1793444,-0.8328785,-1.6860569,3,evans
0.99632156,-0.08068835,-1.5438722,3,evans
-2.684707,1.290042,-1.1493554,2,evans
-2.8958747,1.2368044,-0.9118387,2,evans
-2.0503669,-0.34001476,-2.726614,2,evans
-2.0503669,-0.34001476,-2.726614,2,evans
-2.0616405,1.4218502,-2.1256173,2,evans
1.5151958,-0.6468524,0.4830926,1,evans
1.5537231,-2.4197724,-0.08834719,1,evans
4.589702,1.1183336,0.45041087,1,evans
3.8987412,-1.2800156,0.08295011,1,evans
0.22776733,2.7371728,-1.8815826,2,evans
0.16010755,2.7108445,-1.9597893,2,evans
0.15807062,2.6964169,-1.9652177,2,evans
-0.0376082,2.5419111,-1.7319528,2,evans
-6.2003937,4.1379824,2.9126935,1,crimmins_thione
-6.732406,4.1747284,2.9098172,1,crimmins_thione
-6.7334447,4.174252,2.909505,1,crimmins_thione
