class,class_id,feature,mean_abs_shap
SS (3),3,chiral_aux_c4_match,0.018803757
SS (3),3,chiral_aux_mw,0.007911297
SS (3),3,aux_rg_benzyl,0.0012335845
SS (3),3,aux_rg_isopropyl,0.002102229
SS (3),3,aux_rg_phenyl,2.7324526e-05
SS (3),3,aux_rg_tert_butyl,0.0
SS (3),3,aux_rg_methyl,0.00011738114
SS (3),3,aux_rg_indanyl,0.0
SS (3),3,aux_rg_other,5.227964e-05
SS (3),3,aux_oppolzer,0.001526319
SS (3),3,chiralenv_ket_n_stereo_3bond,0.00013637567
SS (3),3,chiralenv_ket_n_stereo_4bond,0.0012064095
SS (3),3,chiralenv_ket_n_stereo_5bond,0.0012108607
SS (3),3,chiralenv_ket_chirality_gradient,0.055609375
SS (3),3,chiralenv_ket_nearest_chiral_sign,0.015519326
SS (3),3,chiralenv_ket_nearest_chiral_dist,0.00014255336
SS (3),3,chiralenv_ket_alpha_is_chiral,3.0909818e-05
SS (3),3,chiralenv_ket_alpha_chiral_sign,0.0
SS (3),3,chiralenv_ket_chirality_product_3bond,0.016974375
SS (3),3,chiralenv_ket_nearest_pair_relation,0.0006149239
SS (3),3,chiralenv_ket_n_total_stereo,0.00095272524
SS (3),3,chiralenv_ket_mw,0.005933964
SS (3),3,chiralenv_ket_n_heavy,0.0050138603
