number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
74,0.6328862876463037,2026-05-28 21:59:16.788904,2026-05-28 21:59:20.531041,0 days 00:00:03.742137,0.6087027700500091,0.23602784568012145,0.017312139397938502,5,2,200,0.0042159213744432916,2.0827878115065106,0.9208086128017897,COMPLETE
75,0.6305622231561998,2026-05-28 21:59:20.532001,2026-05-28 21:59:24.464705,0 days 00:00:03.932704,0.8876724928125515,0.2667649670586316,0.012630264733487679,6,1,150,0.014251397114393308,0.6285537607295435,0.9961034548398744,COMPLETE
76,0.6308518892387465,2026-05-28 21:59:24.465173,2026-05-28 21:59:26.126926,0 days 00:00:01.661753,0.8097950510599305,0.13909661630596326,0.011025538583022248,4,3,100,0.0012378788016976026,0.8123386733456179,0.8515619904576293,COMPLETE
77,0.624399391401675,2026-05-28 21:59:26.127407,2026-05-28 21:59:30.902900,0 days 00:00:04.775493,0.9369060091714634,0.09480110636647684,0.027936739308608828,5,1,250,0.0218215387311006,1.5404466623954074,0.8999791489657102,COMPLETE
78,0.6098012725210813,2026-05-28 21:59:30.903393,2026-05-28 21:59:33.337017,0 days 00:00:02.433624,0.7205486210997574,0.21407974685760303,0.024738351774630966,3,3,200,0.07828981359385026,1.2243762083490677,0.9649525607188204,COMPLETE
79,0.6413937596474735,2026-05-28 21:59:33.337506,2026-05-28 21:59:36.269913,0 days 00:00:02.932407,0.692529366020921,0.37420276544788716,0.01455552108599358,5,2,150,0.006469151456249859,0.5442659249045871,0.9425750110147145,COMPLETE
80,0.6158863963274284,2026-05-28 21:59:36.270423,2026-05-28 21:59:46.662769,0 days 00:00:10.392346,0.680484859891348,0.4686924712870057,0.014696034347735901,6,2,650,0.0064812284264373025,0.5404935166089446,0.9441543705920548,COMPLETE
81,0.6424686900496615,2026-05-28 21:59:46.663607,2026-05-28 21:59:49.700397,0 days 00:00:03.036790,0.7031975596720013,0.3879960091912634,0.017007159865390427,5,2,150,0.0024733595468359936,0.40423791288987876,0.9208517772101454,COMPLETE
82,0.640986495749903,2026-05-28 21:59:49.701034,2026-05-28 21:59:53.032488,0 days 00:00:03.331454,0.6975721824452605,0.38381299107679634,0.01646778931334061,5,1,150,0.0022490574194425463,0.2758905793210975,0.9191532945775245,COMPLETE
83,0.6464641479620195,2026-05-28 21:59:53.033487,2026-05-28 21:59:55.995382,0 days 00:00:02.961895,0.702719351920435,0.4094544578225061,0.010093599387150546,5,1,150,0.0021882713980542166,0.3654318394954666,0.9315698036260032,COMPLETE
84,0.6403192582060333,2026-05-28 21:59:55.996055,2026-05-28 21:59:58.456359,0 days 00:00:02.460304,0.7063589803923508,0.3899262831417811,0.013828122745453279,4,1,150,0.0006615028924713886,0.18754653528069468,0.951137500076731,COMPLETE
85,0.6379726765046216,2026-05-28 21:59:58.456851,2026-05-28 22:00:01.582426,0 days 00:00:03.125575,0.6580665022977599,0.41856774977085887,0.010131910795290027,5,1,150,0.0022967307537461647,0.2711415766954031,0.922848626187347,COMPLETE
86,0.6456168789500734,2026-05-28 22:00:01.583048,2026-05-28 22:00:04.094220,0 days 00:00:02.511172,0.6004218398536569,0.4465391517570535,0.011290347549386615,6,1,100,0.001167823294000137,0.2034636427825175,0.8765918718209598,COMPLETE
87,0.6513962634462291,2026-05-28 22:00:04.094719,2026-05-28 22:00:06.688056,0 days 00:00:02.593337,0.5574508555713933,0.44423357445069317,0.011306640112950097,6,1,100,0.0004944635407367165,0.11927109355928234,0.8576521794063822,COMPLETE
88,0.6446765741491227,2026-05-28 22:00:06.688681,2026-05-28 22:00:09.183078,0 days 00:00:02.494397,0.5889953338491467,0.5127284688959408,0.011375334114192413,6,1,100,0.000382164619065079,0.1072548568462843,0.8553531087199738,COMPLETE
89,0.6510552947276225,2026-05-28 22:00:09.183635,2026-05-28 22:00:11.913850,0 days 00:00:02.730215,0.5561894740946679,0.5252692298072067,0.01124033809668914,7,1,100,0.0002828768995137238,0.11420539017926369,0.8178672350832644,COMPLETE
90,0.6505958262203093,2026-05-28 22:00:11.914319,2026-05-28 22:00:14.562878,0 days 00:00:02.648559,0.5481011274426945,0.5235515227518368,0.011420305794086118,7,1,100,0.0003135622301985311,0.10014158376627301,0.8176702225159417,COMPLETE
91,0.6537914992164217,2026-05-28 22:00:14.563358,2026-05-28 22:00:17.374615,0 days 00:00:02.811257,0.5481557771291498,0.5200447136451776,0.011053012633139535,7,1,100,0.0002167275525330893,0.10004382510640854,0.8151097328123308,COMPLETE
92,0.646121787180101,2026-05-28 22:00:17.375192,2026-05-28 22:00:20.174753,0 days 00:00:02.799561,0.5584267853157657,0.5179077755880793,0.011164704170447915,7,1,100,0.00019771851531990645,0.10772899465395594,0.8191130236796803,COMPLETE
93,0.651676293407792,2026-05-28 22:00:20.175237,2026-05-28 22:00:23.008560,0 days 00:00:02.833323,0.5478384162703258,0.518475266471345,0.010542682118559688,7,1,100,0.00014124571055385487,0.10726237834320339,0.8197276524153425,COMPLETE
94,0.6529489203832641,2026-05-28 22:00:23.009047,2026-05-28 22:00:25.789633,0 days 00:00:02.780586,0.5450581310402528,0.5240432953735398,0.010692362040911516,7,1,100,0.0001694161996047566,0.10436761553597611,0.8150810670558583,COMPLETE
