number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
105,0.637825192256553,2026-05-28 11:45:15.065563,2026-05-28 11:45:21.556642,0 days 00:00:06.491079,20.0,log2,2,15,800,COMPLETE
106,0.6493303373626328,2026-05-28 11:45:21.557124,2026-05-28 11:45:26.216529,0 days 00:00:04.659405,20.0,sqrt,1,7,700,COMPLETE
107,0.6102059709644925,2026-05-28 11:45:26.217034,2026-05-28 11:45:31.189626,0 days 00:00:04.972592,20.0,0.3,7,11,750,COMPLETE
108,0.6506310089779656,2026-05-28 11:45:31.190096,2026-05-28 11:45:35.381671,0 days 00:00:04.191575,20.0,0.3,1,14,600,COMPLETE
109,0.6399582581059193,2026-05-28 11:45:35.382178,2026-05-28 11:45:40.510314,0 days 00:00:05.128136,10.0,0.3,2,13,750,COMPLETE
110,0.6503973574819674,2026-05-28 11:45:40.510773,2026-05-28 11:45:47.874370,0 days 00:00:07.363597,15.0,0.3,1,12,650,COMPLETE
111,0.6548899624890504,2026-05-28 11:45:47.874866,2026-05-28 11:45:52.655023,0 days 00:00:04.780157,20.0,0.3,1,13,700,COMPLETE
112,0.6535207545432242,2026-05-28 11:45:52.655549,2026-05-28 11:45:57.338145,0 days 00:00:04.682596,20.0,0.3,1,14,700,COMPLETE
113,0.6548899624890504,2026-05-28 11:45:57.338539,2026-05-28 11:46:01.976219,0 days 00:00:04.637680,20.0,0.3,1,13,700,COMPLETE
114,0.6385577366958414,2026-05-28 11:46:01.976687,2026-05-28 11:46:08.974578,0 days 00:00:06.997891,20.0,1.0,1,13,750,COMPLETE
115,0.6526408959725342,2026-05-28 11:46:08.975058,2026-05-28 11:46:13.288645,0 days 00:00:04.313587,20.0,0.3,1,12,650,COMPLETE
116,0.6357479191463209,2026-05-28 11:46:13.289116,2026-05-28 11:46:17.332846,0 days 00:00:04.043730,20.0,0.3,2,15,600,COMPLETE
117,0.6546959451152712,2026-05-28 11:46:17.333396,2026-05-28 11:46:22.752373,0 days 00:00:05.418977,20.0,0.3,1,14,800,COMPLETE
118,0.6492898070231675,2026-05-28 11:46:22.752911,2026-05-28 11:46:27.082926,0 days 00:00:04.330015,15.0,0.3,1,13,650,COMPLETE
